date,mineral,Flow,Quantity,Volume
2025-02-01,Copper, import,90788667.0,331.56
2025-02-01,Graphite, export,16270.0,0.02
2025-02-01,Graphite, import,2578958.0,1.3399999999999999
2025-02-01,Lithium, export,503748.0,4.66
2025-02-01,Lithium, import,75801821.0,227.04
2025-03-01,Copper, export,5992287.0,26.31
2025-03-01,Copper, import,58811874.0,324.76
2025-03-01,Graphite, export,12507.0,0.02
2025-03-01,Graphite, import,1450688.0,0.84
2025-03-01,Lithium, export,155046.0,6.86
2025-03-01,Lithium, import,95349355.0,354.96999999999997
2025-04-01,Copper, export,2930595.0,17.28
2025-04-01,Copper, import,110802660.0,507.75
2025-04-01,Graphite, export,9213.0,0.03
2025-04-01,Graphite, import,2123428.0,1.33
2025-04-01,Lithium, export,163897.0,2.87
2025-04-01,Lithium, import,106333276.0,321.68
2025-05-01,Copper, export,2756845.0,15.53
2025-05-01,Copper, import,101420200.0,377.25
2025-05-01,Graphite, export,47375.0,0.06
2025-05-01,Graphite, import,1877957.0,1.11
2025-05-01,Lithium, export,365125.0,4.96
2025-05-01,Lithium, import,104813117.0,330.04
2025-06-01,Copper, export,2225809.0,14.49
2025-06-01,Copper, import,171063596.0,698.04
2025-06-01,Graphite, export,67950.0,0.08
2025-06-01,Graphite, import,1840936.0,1.06
2025-06-01,Lithium, export,258635.0,7.78
2025-06-01,Lithium, import,111889609.0,312.89000000000004
2025-07-01,Copper, export,3424783.0,22.19
2025-07-01,Copper, import,151813971.0,666.05
2025-07-01,Graphite, export,40637.0,0.07
2025-07-01,Graphite, import,2301299.0,1.43
2025-07-01,Lithium, export,599520.0,5.82
2025-07-01,Lithium, import,125286221.0,328.43
2025-08-01,Copper, export,4359778.0,26.97
2025-08-01,Copper, import,116896264.0,576.04
2025-08-01,Graphite, export,110300.0,0.1
2025-08-01,Graphite, import,1234622.0,0.87
2025-08-01,Lithium, export,170581.0,4.32
2025-08-01,Lithium, import,137459835.0,362.64
2025-09-01,Copper, export,6851018.0,41.510000000000005
2025-09-01,Copper, import,180347673.0,668.4
2025-09-01,Graphite, export,108676.0,0.11
2025-09-01,Graphite, import,1921302.0,1.01
2025-09-01,Lithium, export,221844.0,6.8
2025-09-01,Lithium, import,140947002.0,438.24
2025-10-01,Copper, export,6194740.0,41.589999999999996
2025-10-01,Copper, import,164297020.0,827.3100000000001
2025-10-01,Graphite, export,287972.0,0.28
2025-10-01,Graphite, import,1960970.0,1.08
2025-10-01,Lithium, export,188671.0,8.200000000000001
2025-10-01,Lithium, import,130712765.0,365.23999999999995
2025-11-01,Copper, export,0.0,0.0
2025-11-01,Copper, import,0.0,0.0
2025-11-01,Graphite, export,0.0,0.0
2025-11-01,Graphite, import,0.0,0.0
2025-11-01,Lithium, export,0.0,0.0
2025-11-01,Lithium, import,0.0,0.0
2025-12-01,Copper, export,0.0,0.0
2025-12-01,Copper, import,0.0,0.0
2025-12-01,Graphite, export,0.0,0.0
2025-12-01,Graphite, import,0.0,0.0
2025-12-01,Lithium, export,0.0,0.0
2025-12-01,Lithium, import,0.0,0.0
